Epos Code,Description,RRP,COST,WEBSITE,TRADE,ENGINEER,MERCHANT,STAFF,AMAZON,EBAY,Brand,RowStatus
FRANKE-133.0571.248,Franke Handle (Hot) : GRAPHITE - 133.0571.248,45.38,30.25,43.11,38.57,43.11,34.38,33.28,43.86,43.86,Franke,
FRANKE-133.0571.249,Franke Handle (Cold) : BRASS - 133.0571.249,38.49,25.66,36.56,32.71,36.56,29.32,28.22,37.20,37.20,Franke,
FRANKE-133.0571.250,Franke Handle (Cold) : SMOKEY MIRROR - 133.0571.250,27.51,18.34,26.14,23.39,26.14,21.28,20.18,26.60,26.60,Franke,
FRANKE-133.0571.261,Franke Handle (Cold) : GRAPHITE - 133.0571.261,45.38,30.25,43.11,38.57,43.11,34.38,33.28,43.86,43.86,Franke,
FRANKE-133.0571.262,Franke Valve Cover : BRASS - 133.0571.262,12.38,8.25,11.76,10.52,11.76,10.18,9.08,11.96,11.96,Franke,
FRANKE-133.0571.263,Franke Valve Cover : SMOKEY MIRROR - 133.0571.263,15.14,10.09,14.38,12.87,14.38,12.20,11.10,14.63,14.63,Franke,
FRANKE-133.0571.264,Franke Valve Cover : GRAPHITE - 133.0571.264,13.74,9.16,13.05,11.68,13.05,11.17,10.07,13.28,13.28,Franke,
FRANKE-133.0573.849,Franke WDU Air Switch & Tube - Decor Steel - 133.0573.849,36.48,24.32,34.65,31.00,34.65,27.85,26.75,35.26,35.26,Franke,
FRANKE-133.0573.850,Franke Spout : CHROME - 133.0573.850,43.89,29.26,41.69,37.30,41.69,33.28,32.18,42.42,42.42,Franke,
FRANKE-133.0573.872,Franke Spout : CHROME - 133.0573.872,50.99,33.99,48.44,43.34,48.44,38.49,37.39,49.29,49.29,Franke,
FRANKE-133.0573.873,Franke Handle HOT : CHROME - 133.0573.873,39.90,26.60,37.91,33.92,37.91,30.36,29.26,38.57,38.57,Franke,
FRANKE-133.0573.874,Franke Handle COLD : CHROME - 133.0573.874,39.90,26.60,37.91,33.92,37.91,30.36,29.26,38.57,38.57,Franke,
FRANKE-133.0573.875,Franke O - Ring Kit & Screw - 133.0573.875,7.66,5.11,9.60,8.16,9.60,6.72,5.62,9.60,9.60,Franke,
FRANKE-133.0573.876,Franke Handle : CHROME - 133.0573.876,19.25,12.83,18.29,16.36,18.29,15.22,14.12,18.61,18.61,Franke,
FRANKE-133.0573.878,Franke Cartridge Cover : CHROME - 133.0573.878,4.06,2.71,6.36,5.40,6.36,4.08,2.98,6.36,6.36,Franke,
FRANKE-133.0573.879,Franke Cartridge & Locking Ring - 133.0573.879,25.50,17.00,24.23,21.68,24.23,19.80,18.70,24.65,24.65,Franke,
FRANKE-133.0573.880,Franke Fixing Kit - 133.0573.880,4.25,2.83,6.53,5.55,6.53,4.22,3.12,6.53,6.53,Franke,
FRANKE-133.0573.891,Franke Spout : BRASS - 133.0573.891,130.64,87.09,124.11,111.04,124.11,96.90,95.80,126.28,126.28,Franke,
FRANKE-133.0573.892,Franke Antisplash : BRASS - 133.0573.892,9.38,6.25,11.14,9.47,11.14,7.98,6.88,11.14,11.14,Franke,
FRANKE-133.0573.897,Franke Spout : SMOKEY MIRROR - 133.0573.897,81.14,54.09,77.08,68.97,77.08,60.60,59.50,78.43,78.43,Franke,
FRANKE-133.0573.898,Franke Antisplash : SMOKEY MIRROR - 133.0573.898,5.49,3.66,7.64,6.49,7.64,5.12,4.02,7.64,7.64,Franke,
FRANKE-133.0573.913,Franke Spout : GRAPHITE - 133.0573.913,116.86,77.91,111.02,99.33,111.02,86.80,85.70,112.97,112.97,Franke,
FRANKE-133.0573.914,Franke Antisplash : GRAPHITE - 133.0573.914,5.49,3.66,7.64,6.49,7.64,5.12,4.02,7.64,7.64,Franke,
FRANKE-133.0573.915,Franke Plinth : GRAPHITE - 133.0573.915,23.13,15.42,21.97,19.66,21.97,18.06,16.96,22.35,22.35,Franke,
FRANKE-133.0574.430,Franke Cartridge - 133.0574.430,37.05,24.70,35.20,31.49,35.20,28.27,27.17,35.82,35.82,Franke,
FRANKE-133.0574.474,Franke Fixing Kit - 133.0574.474,5.70,3.80,7.83,6.66,7.83,5.28,4.18,7.83,7.83,Franke,
FRANKE-133.0574.812,Franke Sprayhead Non Return Valve - 133.0574.812,21.74,14.49,20.65,18.48,20.65,17.04,15.94,21.01,21.01,Franke,
FRANKE-133.0576.450,Franke Sink Fixing Clips - 133.0576.450,16.14,10.76,15.33,13.72,15.33,12.93,11.83,15.60,15.60,Franke,
FRANKE-133.0577.153,Franke Pressure reducing valve - 133.0577.153,51.50,34.33,48.93,43.78,48.93,38.87,37.77,49.78,49.78,Franke,
FRANKE-133.0578.224,Franke 07 Filter Housing seal - 133.0578.224,11.25,7.50,12.83,10.90,12.83,9.35,8.25,12.83,12.83,Franke,
